id,ar_en_DEEP_difference_general_rare_proportion,ar_en_DEEP_difference_genre_rare_proportion,ar_en_DEEPL_difference_general_rare_proportion,ar_en_DEEPL_difference_genre_rare_proportion,ar_en_GOOGLE_difference_general_rare_proportion,ar_en_GOOGLE_difference_genre_rare_proportion,ar_en_TRANSFORMERS_difference_general_rare_proportion,ar_en_TRANSFORMERS_difference_genre_rare_proportion
2014/s/2014/740/81:1,-0.37710437710437716,-0.20707070707070707,-0.36713286713286714,-0.20279720279720287,-0.37710437710437716,-0.20707070707070707,-0.4055944055944056,-0.24125874125874128
2006/s/2006/154/137:1,-0.09733893557422968,-0.12289915966386561,-0.01019607843137249,-0.1164705882352941,-0.09364435429344148,-0.1419878296146045,-0.16292335115864526,-0.1219251336898396
2003/s/2003/90/60:2,-0.20714285714285707,-0.3357142857142857,-0.2633928571428571,-0.2991071428571428,-0.20714285714285707,-0.2785714285714286,-0.1933497536945813,-0.3583743842364532
2006/s/2006/822/15:3,-0.5019354838709678,-0.36,-0.4696774193548387,-0.36,-0.5019354838709678,-0.36,-0.4374193548387097,-0.36
2005/s/2005/662/498:1,-0.26666666666666666,-0.23333333333333342,-0.1833333333333333,-0.15000000000000002,-0.26666666666666666,-0.23333333333333342,-0.2153846153846154,-0.16923076923076932
2010/s/2010/529/38:2,0.09191176470588236,-0.014705882352941207,-0.0625,0.0,0.09191176470588236,-0.014705882352941207,0.1339285714285714,-0.03571428571428581
2009/s/2009/671/1:1,0.10582010582010581,-0.0476190476190476,0.10582010582010581,-0.0476190476190476,0.10582010582010581,-0.0476190476190476,0.10582010582010581,-0.0476190476190476
2014/s/2014/9/105:3,-0.28181818181818175,-0.0686868686868687,-0.34848484848484845,-0.0686868686868687,-0.28181818181818175,-0.0686868686868687,-0.28646934460887946,-0.0909090909090909
2014/s/prst/2014/3/708:1,-0.3653846153846154,-0.0288461538461538,-0.3653846153846154,-0.0288461538461538,-0.3653846153846154,-0.0288461538461538,-0.3653846153846154,-0.0288461538461538
2005/s/2005/625/91:3,-0.0625,-0.40625,-0.0625,-0.40625,-0.0625,-0.40625,-0.0625,-0.40625
2012/s/2012/24/66:8,-0.3357142857142858,-0.09285714285714279,-0.3755411255411256,-0.1482683982683982,-0.3357142857142858,-0.09285714285714279,-0.3550420168067227,-0.1491596638655462
2011/s/2011/245/126:4,-0.3924485125858123,-0.20251716247139592,-0.3876765083440308,-0.19191270860077023,-0.3924485125858123,-0.20251716247139592,-0.381578947368421,-0.18530701754385973
2006/s/prst/2006/28/5:3,-0.2,-0.04090909090909091,-0.2175856929955291,-0.09724292101341281,-0.2,-0.059090909090909104,-0.21732954545454541,-0.0980113636363636
2005/s/2005/635/40:1,-0.1428571428571429,-0.1666666666666666,-0.11538461538461542,-0.1666666666666666,-0.1428571428571429,-0.1666666666666666,-0.09259259259259262,-0.1666666666666666
2012/s/2012/244/29:5,-0.35197368421052644,-0.125,-0.3625,-0.125,-0.35197368421052644,-0.125,-0.3625,-0.125
2009/s/prst/2009/1/4:2,-0.3689102564102565,-0.1775641025641026,-0.33548850574712646,-0.19109195402298848,-0.3689102564102565,-0.1775641025641026,-0.39186507936507947,-0.1924603174603175
2005/s/2005/60/765:1,-0.021645021645021578,-0.038961038961039,-0.0692640692640693,-0.08658008658008659,-0.021645021645021578,-0.038961038961039,-0.10545454545454541,-0.0618181818181818
2005/s/2005/60/677:1,-0.4039408866995074,-0.02627257799671591,-0.4039408866995074,-0.02627257799671591,-0.4039408866995074,-0.02627257799671591,-0.4571428571428572,-0.038095238095238106
2008/s/2008/379/293:1,0.033333333333333326,-0.23333333333333342,-0.13333333333333341,-0.23333333333333342,0.033333333333333326,-0.23333333333333342,-0.46666666666666673,-0.4
2004/s/prst/2004/21/11:1,-0.14009661835748793,0.0,-0.18128654970760233,0.0,-0.14009661835748793,0.0,-0.14009661835748793,0.0
2005/s/2005/60/145:1,-0.3611111111111111,-0.25,-0.4868421052631579,-0.25,-0.3611111111111111,-0.25,-0.4166666666666667,-0.1833333333333334
2012/s/2012/16/99:3,-0.04805491990846689,-0.06864988558352401,-0.021739130434782594,-0.0628019323671497,-0.04805491990846689,-0.06864988558352401,-0.045548654244306486,-0.1739130434782608
2006/s/2006/822/292:3,-0.21039819161884893,-0.21439749608763686,-0.13580429948109707,-0.12083024462564856,-0.21039819161884893,-0.21439749608763686,-0.17089201877934268,-0.19661971830985908
2011/s/2011/463/163:5,-0.4838056680161944,-0.1923076923076923,-0.4764957264957265,-0.1923076923076923,-0.4838056680161944,-0.1923076923076923,-0.3931623931623932,-0.1923076923076923
2005/s/2005/60/362:1,-0.13333333333333341,-0.0666666666666666,-0.16470588235294123,-0.0901960784313725,-0.13333333333333341,-0.0666666666666666,-0.13333333333333341,-0.0666666666666666
2005/s/2005/60/474:5,-0.45833333333333337,-0.2916666666666667,-0.45833333333333337,-0.2916666666666667,-0.45833333333333337,-0.2916666666666667,-0.2916666666666667,-0.2916666666666667
2008/s/2008/259/14:6,-0.13333333333333336,-0.2666666666666666,-0.15416666666666667,-0.2666666666666666,-0.13333333333333336,-0.2666666666666666,-0.06666666666666665,-0.2666666666666666
2014/s/2014/276/86:1,-0.467948717948718,-0.40384615384615385,-0.5,-0.45833333333333337,-0.467948717948718,-0.40384615384615385,-0.4078947368421053,-0.45175438596491235
2012/s/2012/16/45:5,-0.3954545454545454,-0.2272727272727272,-0.4204545454545454,-0.2272727272727272,-0.3954545454545454,-0.2272727272727272,-0.3954545454545454,-0.2272727272727272
2005/s/2005/60/940:1,-0.2324929971988795,-0.1946778711484593,-0.21703296703296698,-0.17582417582417578,-0.2324929971988795,-0.1946778711484593,-0.22857142857142848,-0.1942857142857142
2005/s/2005/60/569:2,-0.4214285714285715,-0.6,-0.48461538461538467,-0.6,-0.4214285714285715,-0.6,-0.3727272727272728,-0.6
2005/s/2005/678/3:3,-0.5,-0.2142857142857143,-0.5192307692307693,-0.2115384615384616,-0.5,-0.2142857142857143,-0.5431034482758621,-0.2155172413793104
2005/s/2005/60/712:1,-0.1199324324324324,-0.25563063063063074,-0.11328349626221962,-0.2334675100632548,-0.1199324324324324,-0.25563063063063074,-0.153362664990572,-0.2507856693903206
2010/s/prst/2010/19/9:1,-0.32186181434599154,-0.21967299578059069,-0.31912058627581613,-0.20892738174550302,-0.32186181434599154,-0.21967299578059069,-0.3373805218289848,-0.2200981658486179
2007/s/prst/2007/26/6:1,-0.39,0.0,-0.3986206896551724,0.0,-0.35875,0.0,-0.39,0.0
2006/s/prst/2006/4/5:4,-0.43002028397565933,-0.3184584178498986,-0.3844537815126051,-0.2815126050420168,-0.43002028397565933,-0.3184584178498986,-0.3955375253549696,-0.2839756592292089
