id,es_noun_counts,es_verb_counts,es_lemma_counts,en_es_DEEP_noun_counts,en_es_DEEP_verb_counts,en_es_DEEP_lemma_counts,en_es_DEEPL_noun_counts,en_es_DEEPL_verb_counts,en_es_DEEPL_lemma_counts,en_es_GOOGLE_noun_counts,en_es_GOOGLE_verb_counts,en_es_GOOGLE_lemma_counts,en_es_TRANSFORMERS_noun_counts,en_es_TRANSFORMERS_verb_counts,en_es_TRANSFORMERS_lemma_counts
2008/s/2008/324/97:3,10,7,38,11,6,38,10,6,35,11,6,39,11,6,37
2011/s/2013/467/68:5,5,1,22,3,2,20,2,1,19,3,2,20,3,2,21
2011/s/2011/463/386:1,9,3,25,9,3,27,8,4,27,9,3,27,10,3,26
2005/s/2005/60/779:6,9,3,40,9,2,40,9,2,40,9,2,40,10,2,39
2006/s/2006/154/242:1,12,0,40,7,1,35,8,1,38,7,1,35,7,1,33
2012/s/prst/2012/23/18:1,21,4,47,21,4,46,21,4,46,21,4,47,22,4,46
2011/s/res/1988_2011_/66:1,10,5,34,8,5,32,8,6,32,8,5,32,9,6,33
2005/s/2005/60/120:2,13,7,40,13,8,45,13,8,45,13,8,45,12,8,45
2014/s/prst/2014/3/347:1,10,7,36,11,5,34,11,5,34,11,5,34,11,5,35
2005/s/2005/699/206:1,11,5,44,11,4,44,10,4,45,11,4,44,9,4,42
2010/s/prst/2010/25/853:1,25,5,57,27,6,61,27,5,61,27,6,61,27,4,59
2006/s/prst/2006/28/6:2,8,6,34,11,4,31,9,6,32,10,5,31,10,6,32
2000/s/2000/1196/39:1,3,1,16,4,1,14,5,1,14,4,1,14,4,1,13
2009/s/prst/2009/1/181:1,11,1,25,12,2,25,10,1,25,12,2,25,11,2,25
2008/s/prst/2008/45/9:1,11,3,28,8,4,27,10,3,29,8,4,28,11,3,28
2006/s/res/1735_2006_/147:1,8,2,28,7,2,28,8,2,28,7,2,28,8,2,28
2005/s/2005/699/83:1,7,1,23,7,1,22,7,1,22,7,1,22,6,1,21
2011/s/2011/245/51:2,9,7,38,10,3,32,10,3,31,10,3,32,10,3,32
2013/s/prst/2013/13/13:2,11,7,40,10,6,38,9,6,39,10,6,39,9,6,39
2014/s/2014/944/11:1,6,1,24,5,1,24,5,1,24,5,1,25,5,1,24
2005/s/2005/60/209:4,7,0,26,8,1,28,8,1,28,8,1,28,10,0,25
2010/s/2010/529/37:1,10,1,24,11,1,27,11,1,28,11,1,28,11,1,26
2005/s/2005/572/213:1,35,11,83,33,9,73,34,8,76,33,9,73,33,8,74
2014/s/2014/740/7:2,9,2,30,9,2,30,9,2,29,9,2,30,9,2,30
2014/s/2014/276/115:1,15,5,41,14,5,37,15,5,39,14,5,37,15,5,38
2005/s/2005/61/106:1,5,1,16,4,1,17,4,1,17,4,1,17,4,1,16
2012/s/2012/373/105:1,6,2,22,5,2,22,5,3,22,5,2,22,5,2,20
2014/s/prst/2014/3/781:1,51,17,94,52,16,94,56,17,93,52,16,94,50,17,86
2005/s/2005/604/38:4,4,1,18,5,1,19,5,1,19,5,1,19,5,1,19
2010/s/prst/2010/25/888:1,36,6,66,30,11,66,30,11,68,30,11,66,39,6,70
2005/s/2005/60/83:1,3,0,6,3,0,6,3,0,6,3,0,6,3,0,6
1999/s/prst/1999/6/15:1,5,0,21,5,0,21,5,0,21,5,0,22,5,0,21
2014/s/2014/501/25:4,4,5,32,5,4,33,5,4,33,5,4,33,6,4,34
2005/s/2005/60/901:2,4,4,23,4,4,22,4,4,25,4,4,22,4,2,22
2012/s/prst/2012/23/17:1,10,2,29,6,3,26,10,3,26,7,3,27,7,3,25
2013/s/prst/2013/11/12:1,8,4,39,9,3,37,7,5,35,10,3,38,8,5,37
2014/s/2014/935/26:1,11,2,35,10,2,33,12,2,35,10,2,33,10,2,32
2006/s/2006/822/137:7,6,2,23,5,1,20,5,1,20,5,1,20,5,1,20
2005/s/2005/642/56:2,8,4,25,8,2,25,9,2,25,8,2,25,7,2,22
2006/s/2006/822/276:1,8,8,32,10,7,31,10,7,33,10,7,31,8,7,29
2012/s/2012/79/22:1,16,2,45,15,1,39,14,1,40,15,1,39,15,1,38
2012/s/2012/168/4:3,16,9,49,14,9,44,14,8,43,14,9,44,14,9,45
2005/s/2005/60/192:1,2,1,24,4,1,29,4,1,28,4,1,29,4,1,29
2008/s/2008/251/14:3,2,1,8,2,1,8,2,1,8,2,1,8,2,1,8
2010/s/2010/529/78:2,8,2,25,6,2,25,7,1,23,6,2,25,6,2,25
2000/s/2000/1194/2:1,6,3,36,6,2,37,6,2,36,6,2,37,6,2,37
2014/s/2014/942/52:2,11,3,35,15,2,34,16,2,34,15,2,34,14,2,34
2005/s/2005/699/72:1,3,1,19,5,1,20,4,1,18,5,1,20,3,1,17
2005/s/2005/60/417:1,11,2,36,16,2,43,16,2,46,16,2,43,14,2,42
2004/s/2004/614/22:2,13,2,55,13,2,54,11,1,54,13,2,54,12,1,54
2005/s/2005/60/458:3,16,4,36,16,1,33,16,1,33,16,1,33,15,1,32
2005/s/2005/60/801:2,18,2,52,14,2,50,16,2,54,15,2,52,18,2,53
2009/s/prst/2009/1/464:1,23,8,58,25,5,55,27,5,53,26,5,55,25,6,58
2012/s/2012/24/63:2,16,1,33,17,1,32,16,1,35,17,1,32,16,1,34
2005/s/2005/634/18:5,13,3,35,10,3,31,10,3,32,10,3,31,11,3,32
2008/s/2008/251/34:4,6,3,25,7,3,27,6,4,25,6,4,26,7,3,24
2005/s/2005/631/37:2,5,2,22,6,2,24,6,2,24,6,2,24,6,2,24
2005/s/2005/649/22:1,25,7,56,22,7,53,23,8,57,22,7,53,22,8,56
2005/s/2005/684/54:1,4,1,14,6,1,16,6,1,16,6,1,16,6,1,17
2014/s/2014/740/80:4,11,3,32,11,3,29,10,3,28,11,3,29,11,3,30
2008/s/2008/800/75:1,55,15,105,54,14,110,52,14,111,54,14,110,59,16,110
2012/s/2012/165/6:2,13,3,39,12,3,38,12,3,38,12,3,38,12,3,38
2005/s/2005/60/276:1,11,2,36,12,2,36,12,2,37,12,2,36,12,2,39
2011/s/2011/463/347:10,19,4,41,20,4,46,19,4,44,20,4,46,18,4,42
2011/s/2011/298/20:4,3,4,28,2,2,23,2,2,24,2,2,23,2,2,22
1999/s/res/1267_1999_/25:1,4,2,19,2,3,17,2,2,16,2,3,17,3,3,18
2005/s/2005/60/679:4,4,2,18,3,1,17,3,2,18,3,1,17,3,1,17
2005/s/2005/657/21:1,10,2,30,9,2,28,9,2,28,9,2,28,9,2,27
2007/s/2007/677/23:1,2,0,6,2,0,6,2,0,6,2,0,6,2,0,6
2012/s/2012/359/52:3,7,5,35,9,3,35,9,3,35,9,3,35,9,3,32
2014/s/2014/935/128:1,23,7,53,22,5,49,22,5,49,22,5,49,20,7,49
2000/s/2000/1196/110:4,6,2,26,8,2,25,7,2,23,8,2,25,8,2,24
2014/s/2014/948/29:2,3,1,16,3,1,14,4,1,16,3,1,14,3,1,16
2005/s/res/1617_2005_/10:1,9,3,27,11,1,25,11,1,25,11,1,25,11,1,25
2012/s/2012/244/28:2,7,3,28,7,3,29,7,3,28,7,3,29,6,4,30
2006/s/2006/154/305:1,7,4,48,7,4,49,7,4,51,5,4,48,7,4,47
2008/s/2008/250/69:2,20,8,53,18,8,46,19,8,47,18,8,46,20,9,50
2005/s/2005/657/6:2,25,7,73,24,8,71,24,8,72,24,8,72,25,8,74
2006/s/2006/822/207:6,6,6,31,9,6,28,9,6,30,9,6,28,6,6,29
2005/s/2005/699/410:2,3,1,15,3,1,14,3,1,13,3,1,14,3,1,14
2005/s/2005/60/484:5,2,4,14,2,3,10,2,3,11,2,3,11,2,3,11
2005/s/2005/662/79:2,11,1,28,10,1,27,9,1,27,10,1,27,10,1,27
2011/s/2011/525/21:2,5,2,32,4,2,31,6,2,32,4,2,31,5,2,31
