id,en_ar_DEEP_difference_general_rare_proportion,en_ar_DEEP_difference_genre_rare_proportion,en_ar_DEEPL_difference_general_rare_proportion,en_ar_DEEPL_difference_genre_rare_proportion,en_ar_GOOGLE_difference_general_rare_proportion,en_ar_GOOGLE_difference_genre_rare_proportion,en_ar_TRANSFORMERS_difference_general_rare_proportion,en_ar_TRANSFORMERS_difference_genre_rare_proportion
2002/s/ac_26/2002/15/1076:5,0.02857142857142847,-0.12857142857142861,-0.025000000000000022,-0.012500000000000011,-0.015384615384615441,-0.04615384615384621,0.061538461538461486,0.030769230769230688
2008/s/2008/640/3:1,0.08333333333333337,-0.0833333333333333,0.0,-0.0833333333333333,0.08333333333333337,-0.0833333333333333,0.0,-0.0833333333333333
2008/s/2008/76/71:1,0.0714285714285714,-0.2321428571428572,0.0714285714285714,-0.2321428571428572,0.0714285714285714,-0.2321428571428572,0.0714285714285714,-0.0892857142857143
2003/s/2003/144/17:2,0.09090909090909088,0.09090909090909088,0.1363636363636364,0.1363636363636364,0.09090909090909088,0.09090909090909088,-0.14141414141414138,-0.030303030303030276
2006/s/2006/672/537:1,-0.0357142857142857,0.0714285714285714,-0.0357142857142857,0.0714285714285714,-0.0357142857142857,0.0714285714285714,-0.08333333333333337,0.0
2007/s/2007/68/83:1,0.10307692307692318,0.01692307692307693,0.06593406593406603,-0.06593406593406598,0.10307692307692318,0.01692307692307693,0.07692307692307698,-0.03846153846153849
1999/s/1999/575/19:4,0.375,0.375,0.29166666666666663,0.25,0.125,0.25,0.45833333333333337,0.41666666666666663
2011/s/2011/10/add_26/3:1,-0.012681159420289911,0.0036231884057971037,0.030797101449275277,0.0036231884057971037,-0.012681159420289911,0.0036231884057971037,-0.04166666666666674,0.0
2013/s/2013/103/55:1,-0.05128205128205121,0.012820512820512775,-0.023809523809523725,0.09523809523809518,-0.05128205128205121,0.012820512820512775,-0.023809523809523725,0.02380952380952378
2004/s/ac_26/2004/5/173:4,-0.07692307692307687,-0.07692307692307687,0.0,0.0,-0.07692307692307687,-0.07692307692307687,0.0,0.0
2004/s/2004/117/36:9,-0.05490196078431375,-0.007843137254901898,0.033333333333333326,-0.004166666666666596,-0.05490196078431375,-0.007843137254901898,0.003921568627450911,0.0509803921568628
2003/s/ac_26/2003/29/1587:1,0.16666666666666674,0.16666666666666669,0.33333333333333337,0.0,0.16666666666666674,0.16666666666666669,0.33333333333333337,-0.1666666666666667
2002/s/2002/30/add_43/1:1,-0.007017543859649034,0.02807017543859651,0.0,0.0,-0.007017543859649034,0.02807017543859651,0.0,0.0
2013/s/2013/174/11:6,-0.02631578947368418,0.006578947368421073,-0.0717703349282297,-0.09569377990430622,-0.02631578947368418,0.006578947368421073,0.007017543859649145,-0.03508771929824561
2002/s/ac_26/2002/13/764:4,0.026497695852534475,0.024193548387096808,-0.009216589861751223,0.024193548387096808,0.026497695852534475,0.024193548387096808,0.13935483870967735,0.09419354838709681
2005/s/2005/706/38:3,-0.014245014245014231,-0.06552706552706558,-0.03703703703703709,-0.07407407407407407,-0.014245014245014231,-0.06552706552706558,-0.022486772486772555,-0.04629629629629628
2012/s/2012/10/add_27/5:2,0.039787798408488007,0.015915119363395208,0.015172413793103412,0.022068965517241412,0.001326259946949515,0.015915119363395208,0.01231527093596052,0.0406403940886699
2011/s/2011/747/2:2,0.05594405594405588,0.11888111888111891,-0.02197802197802201,0.06043956043956039,0.05594405594405588,0.11888111888111891,0.05594405594405588,0.027972027972027996
2011/s/2011/241/85:3,-0.12121212121212116,-0.022727272727272707,-0.12121212121212116,-0.1060606060606061,-0.025974025974025983,-0.05844155844155852,-0.03787878787878779,-0.1060606060606061
2005/s/ac_44/2004/_02_/61/add_1/42:2,0.029166666666666674,-0.1208333333333334,0.033088235294117585,-0.0698529411764706,0.029166666666666674,-0.1208333333333334,-0.048611111111111105,-0.1319444444444445
2008/s/2008/751/38:3,0.07189542483660127,-0.022875816993464027,0.0,0.0,0.07189542483660127,-0.022875816993464027,0.016339869281045694,-0.022875816993464027
2009/s/2009/537/1419:2,-0.0222222222222222,-0.1333333333333333,-0.0222222222222222,-0.1333333333333333,-0.0222222222222222,-0.1333333333333333,-0.0222222222222222,-0.1333333333333333
2003/s/2003/968/26:1,0.08823529411764708,-0.0098039215686275,0.08823529411764708,-0.0098039215686275,0.08823529411764708,-0.0098039215686275,0.1336898395721925,0.0962566844919786
1999/s/1999/806/19:1,-0.04395604395604391,0.02197802197802201,0.07142857142857151,0.11428571428571432,-0.04395604395604391,0.02197802197802201,0.11688311688311692,-0.012987012987012991
2003/s/2003/419/52:1,0.025000000000000022,0.07916666666666669,-0.006249999999999978,-0.01458333333333331,0.025000000000000022,0.07916666666666669,0.0060606060606061,0.0393939393939394
2002/s/2002/471/9:1,0.09523809523809523,0.0,0.09523809523809523,0.0,0.09523809523809523,0.0,0.0,0.1428571428571428
2014/s/2014/10/add_34/10:1,0.0,-0.2222222222222222,0.0,-0.2222222222222222,0.0,-0.2222222222222222,0.0,-0.2222222222222222
2003/s/2003/987/33:1,-0.08823529411764708,0.03594771241830069,0.0,0.0,-0.08823529411764708,0.03594771241830069,0.0,-0.05882352941176472
2006/s/2006/10/add_25/21:1,0.0,-0.025000000000000022,0.017948717948717996,0.03269230769230769,0.0,-0.025000000000000022,0.06315789473684219,0.04078947368421049
2012/s/2012/590/137:1,-0.0714285714285714,-0.02380952380952378,-0.0714285714285714,0.0,0.011904761904761973,0.05952380952380959,-0.10476190476190472,-0.09047619047619049
