id,es_en_DEEP_difference_noun_counts,es_en_DEEP_difference_verb_counts,es_en_DEEP_difference_lemma_counts,es_en_DEEPL_difference_noun_counts,es_en_DEEPL_difference_verb_counts,es_en_DEEPL_difference_lemma_counts,es_en_GOOGLE_difference_noun_counts,es_en_GOOGLE_difference_verb_counts,es_en_GOOGLE_difference_lemma_counts,es_en_TRANSFORMERS_difference_noun_counts,es_en_TRANSFORMERS_difference_verb_counts,es_en_TRANSFORMERS_difference_lemma_counts
2014/s/2014/419/47:1,1,1,5,-1,1,2,0,1,4,-2,1,2
2014/s/2014/740/41:3,-1,0,-2,-2,1,-3,-1,0,-2,-2,1,-3
2005/s/2005/68/16:1,0,0,-2,0,0,-2,0,0,-2,-1,0,-2
2008/s/2008/324/97:3,-1,1,0,-2,1,0,-1,1,0,-2,1,-1
2011/s/2013/467/68:5,-3,1,-2,-3,1,-2,-3,1,-2,-1,0,-1
2011/s/2011/463/386:1,-4,2,-3,-4,2,-4,-4,1,-2,-3,0,-1
2005/s/2005/60/779:6,-1,2,-4,-1,3,-4,-1,2,-4,0,1,-3
2006/s/2006/154/242:1,-3,2,-4,-5,1,-9,-3,2,-4,-5,1,-10
2012/s/prst/2012/23/18:1,-3,1,-1,-3,1,-1,-4,1,-1,-3,1,1
2011/s/res/1988_2011_/66:1,-3,3,-5,-3,2,0,-3,3,-6,-3,3,-6
2005/s/2005/60/120:2,-4,-1,2,-5,1,2,-5,-1,1,-6,-1,2
2014/s/prst/2014/3/347:1,-3,0,-1,-2,0,0,-3,0,-1,0,-1,-2
2005/s/2005/699/206:1,0,0,1,0,0,1,0,0,1,-1,1,0
2010/s/prst/2010/25/853:1,-3,2,-6,-3,1,-10,-3,2,-6,-3,2,-7
2006/s/prst/2006/28/6:2,-3,-2,-4,-2,-2,-4,-3,-2,-4,0,0,-2
2000/s/2000/1196/39:1,0,0,-1,0,0,-1,0,0,-1,0,0,-1
2009/s/prst/2009/1/181:1,0,0,-2,0,0,-1,0,0,-2,0,0,-2
2008/s/prst/2008/45/9:1,-4,1,-1,-4,1,-1,-4,1,-1,-4,1,0
2006/s/res/1735_2006_/147:1,-2,1,1,-2,1,1,-2,1,1,-2,1,1
2005/s/2005/699/83:1,-1,0,1,-1,1,2,-1,0,0,-1,0,1
2011/s/2011/245/51:2,-2,-3,-6,-1,-1,-1,-2,-3,-6,-1,-1,-1
2013/s/prst/2013/13/13:2,-2,0,1,-4,0,-2,-2,0,1,-4,0,-1
2014/s/2014/944/11:1,-2,0,-2,-2,0,-3,-3,0,-2,-2,0,-2
2005/s/2005/60/209:4,0,1,-1,0,1,-1,0,1,0,0,1,0
2010/s/2010/529/37:1,-1,1,0,-2,0,-2,-1,1,0,-1,1,0
2005/s/2005/572/213:1,-4,1,-11,-2,-3,-8,-4,1,-11,-1,-3,-8
2014/s/2014/740/7:2,-2,2,2,-2,2,2,-2,2,2,-2,2,2
2014/s/2014/276/115:1,-1,0,2,-1,0,-2,-1,0,1,-1,0,2
2005/s/2005/61/106:1,-1,0,1,-1,0,3,-1,0,1,-1,0,3
2012/s/2012/373/105:1,-1,1,-1,-1,1,2,-1,1,-1,-1,1,-1
2014/s/prst/2014/3/781:1,-8,9,-5,3,15,-4,-8,9,-5,-9,8,-6
2005/s/2005/604/38:4,-2,1,-1,-2,1,-1,-2,1,-1,-2,1,-1
2010/s/prst/2010/25/888:1,0,5,-4,14,6,-1,0,5,-4,-1,3,-6
2005/s/2005/60/83:1,2,0,1,2,0,1,2,0,1,2,0,2
1999/s/prst/1999/6/15:1,0,1,-2,0,1,-1,0,1,-2,0,0,-1
2014/s/2014/501/25:4,0,-2,1,0,-2,-1,0,-2,0,0,-2,1
2005/s/2005/60/901:2,0,0,0,0,0,0,0,0,0,0,0,-1
2012/s/prst/2012/23/17:1,-3,1,-3,-5,1,-5,-3,1,-3,-4,1,-4
2013/s/prst/2013/11/12:1,-2,2,1,-3,1,1,-2,2,1,-2,1,3
2014/s/2014/935/26:1,-1,1,-3,-1,1,-4,-1,1,-3,-1,1,-3
2006/s/2006/822/137:7,-2,0,-2,-3,0,-2,-2,0,-2,-2,0,-2
2005/s/2005/642/56:2,0,-1,3,0,0,4,0,-1,3,0,-1,4
2006/s/2006/822/276:1,2,0,2,2,-1,0,2,0,2,3,-2,0
2012/s/2012/79/22:1,-1,3,-3,-1,2,-2,-1,3,-3,-1,2,-3
2012/s/2012/168/4:3,-1,1,3,0,1,4,0,1,4,-2,1,3
2005/s/2005/60/192:1,1,0,-3,1,0,-2,1,0,-3,0,0,0
2008/s/2008/251/14:3,0,0,2,0,0,2,0,0,2,0,0,2
2010/s/2010/529/78:2,0,0,-2,0,0,-2,0,0,-2,1,0,0
2000/s/2000/1194/2:1,-3,1,1,-3,1,2,-3,1,1,-3,1,2
2014/s/2014/942/52:2,1,-1,1,1,-1,1,1,-1,1,0,0,2
2005/s/2005/699/72:1,0,1,-1,0,1,-1,0,1,-1,0,0,0
2005/s/2005/60/417:1,-2,2,1,-1,1,0,-2,2,1,-1,1,0
2004/s/2004/614/22:2,-3,2,-4,-3,2,-5,-3,2,-4,0,2,3
2005/s/2005/60/458:3,-2,0,0,-3,-1,-5,-2,0,0,-3,0,-4
2005/s/2005/60/801:2,2,2,4,1,3,3,1,2,6,-1,3,0
2009/s/prst/2009/1/464:1,-1,-2,-5,0,-3,-5,-1,-2,-4,-2,-2,-2
2012/s/2012/24/63:2,0,0,-1,1,0,0,0,0,-1,-1,0,-2
2005/s/2005/634/18:5,-4,2,-3,-4,2,-2,-4,2,-3,-4,2,-5
2008/s/2008/251/34:4,1,0,0,2,0,4,1,0,0,1,0,3
2005/s/2005/631/37:2,0,1,1,0,0,1,0,1,1,0,0,2
2005/s/2005/649/22:1,-1,1,1,-1,0,-4,-1,1,1,-1,1,-4
2005/s/2005/684/54:1,1,1,2,3,1,6,1,1,1,1,1,3
2014/s/2014/740/80:4,-3,0,-7,-3,1,-5,-3,0,-7,-3,1,-2
